image_id,item_id,image_num,label,website,title,price,image
1,1,1,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0059/976/243/cn59976243.jpg?q=h&w=1600
2,1,2,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0060/012/321/cn60012321.jpg?q=h&w=1600
3,1,3,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0059/976/236/cn59976236.jpg?q=h&w=1600
4,1,4,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0060/771/840/cn60771840.jpg?q=h&w=1600
5,1,5,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0060/771/872/cn60771872.jpg?q=h&w=1600
6,1,6,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0060/267/078/cn60267078.jpg?q=h&w=1600
7,2,1,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0059/961/054/cn59961054.jpg?q=h&w=1600
8,2,2,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0059/959/450/cn59959450.jpg?q=h&w=1600
9,2,3,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0059/959/455/cn59959455.jpg?q=h&w=1600
10,2,4,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0060/771/937/cn60771937.jpg?q=h&w=1600
11,2,5,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0060/771/884/cn60771884.jpg?q=h&w=1600
12,3,1,Acrylic,Gap,Sheer Rib Henley Sweater,$69.95 ,https://www1.assets-gap.com/webcontent/0059/939/930/cn59939930.jpg?q=h&w=1600
